Product ID,Active (0/1),Name *,Categories (x,y,z...),Price tax excluded,Tax rules ID,Wholesale price,On sale (0/1),Discount amount,Discount percent,Discount from (yyyy-mm-dd),Discount to (yyyy-mm-dd),Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,UPC,Ecotax,Width,Height,Depth,Weight,Delivery time of in-stock products,Delivery time of out-of-stock products with allowed orders,Quantity,Minimal quantity,Low stock level,Send me an email when the quantity is under this level,Visibility,Additional shipping cost,Unity,Unit price,Summary,Description,Tags (x,y,z...),Meta title,Meta keywords,Meta description,URL rewritten,Text when in stock,Text when backorder allowed,Available for order (0 = No,1 = Yes),Product available date,Product creation date,Show price (0 = No,1 = Yes),Image URLs (x,y,z...),Image alt texts (x,y,z...),Delete existing images (0 = No,1 = Yes),Feature(Name:Value:Position),Available online only (0 = No,1 = Yes),Condition,Customizable (0 = No,1 = Yes),Uploadable files (0 = No,1 = Yes),Text fields (0 = No,1 = Yes),Out of stock action,Virtual product,File URL,Number of allowed downloads,Expiration date,Number of days,ID / Name of shop,Advanced stock management,Depends On Stock,Warehouse,Acessories  (x,y,z...)

,,NOM,Catégorie,,,"PVP HT",,,,,,,,SKU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"6MP Entry Smart Dual Light Fixed-focal Dome Network Camera","Caméras IP, caméra",,,900.00,,,,,,,,IPC-HDW1639TP-A-IL-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"8CH Penta-brid 5MP Value/1080P Compact 1U 1HDD WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,1185.00,,,,,,,,XVR5108HS-I3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4CH Penta-brid 5MP Value/1080P Compact 1U 1HDD WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,787.50,,,,,,,,XVR5104HS-I3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5MP Full-color HDCVI Fixed-focal Bullet Camera","Caméra analogique, Caméra ",,,385.00,,,,,,,,HAC-HFW1509CP-A-LED-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4K Starlight HDCVI Fixed IR Quick-to-install Eyeball Camera","Caméra analogique, Caméra ",,,558.00,,,,,,,,HAC-HDW1801TLQP-A-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2MP Entry IR Fixed-Focal Bullet Netwok Camera","Caméras IP, caméra",,,480.00,,,,,,,,IPC-HFW1230S1P-A-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4K Starlight HDCVI Fixed IR Bullet Camera WDR","Caméra analogique, Caméra ",,,513.00,,,,,,,,HAC-HFW1801TP-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5MP DOME Starlight HDCVI Quick-to-install","Caméra analogique, Caméra ",,,375.00,,,,,,,,HAC-HDW1500TLMQP-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4CH Penta-brid 1080N/720P Cooper 1U 1HDD WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,495.00,,,,,,,,XVR1B04-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4CH Penta-brid 5MP Value/1080P Cooper 1U 1HDD WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,645.00,,,,,,,,XVR1B04H-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
